"Shimmer_4B78	Shimmer_4B78	Shimmer_4B78	Shimmer_4B78	Shimmer_4B78	"
"PPG_A13	PPG_A13	System_Timestamp_Plot_Zeroed	Timestamp	Timestamp	"
"CAL	UNCAL	CAL	UNCAL	CAL	"
"mV	no_units	ms	Ticks	ms	"
"863.0036630036631	1178.0	13039.0625	1793642.0	54737.60986328125	"
"891.5750915750916	1217.0	13046.875	1793898.0	54745.42236328125	"
"939.92673992674	1283.0	13054.6875	1794154.0	54753.23486328125	"
"1016.117216117216	1387.0	13062.5	1794410.0	54761.04736328125	"
"1126.007326007326	1537.0	13070.3125	1794666.0	54768.85986328125	"
"1271.7948717948718	1736.0	13078.125	1794922.0	54776.67236328125	"
"1451.2820512820513	1981.0	13085.9375	1795178.0	54784.48486328125	"
"1663.7362637362637	2271.0	13093.75	1795434.0	54792.29736328125	"
"1903.2967032967033	2598.0	13101.5625	1795690.0	54800.10986328125	"
"2166.300366300366	2957.0	13109.375	1795946.0	54807.92236328125	"
"2438.827838827839	3329.0	13117.1875	1796202.0	54815.73486328125	"
"2709.89010989011	3699.0	13125.0	1796458.0	54823.54736328125	"
"2798.5347985347985	3820.0	13132.8125	1796714.0	54831.35986328125	"
"2797.069597069597	3818.0	13140.625	1796970.0	54839.17236328125	"
"2797.8021978021975	3819.0	13148.4375	1797226.0	54846.98486328125	"
"2796.336996336996	3817.0	13156.25	1797482.0	54854.79736328125	"
"2797.8021978021975	3819.0	13164.0625	1797738.0	54862.60986328125	"
"2797.069597069597	3818.0	13171.875	1797994.0	54870.42236328125	"
"2797.069597069597	3818.0	13179.6875	1798250.0	54878.23486328125	"
"2797.8021978021975	3819.0	13187.5	1798506.0	54886.04736328125	"
"2797.8021978021975	3819.0	13195.3125	1798762.0	54893.85986328125	"
"2797.069597069597	3818.0	13203.125	1799018.0	54901.67236328125	"
"2797.069597069597	3818.0	13210.9375	1799274.0	54909.48486328125	"
"2797.069597069597	3818.0	13218.75	1799530.0	54917.29736328125	"
"2797.8021978021975	3819.0	13226.5625	1799786.0	54925.10986328125	"
"2796.336996336996	3817.0	13234.375	1800042.0	54932.92236328125	"
"2797.8021978021975	3819.0	13242.1875	1800298.0	54940.73486328125	"
"2789.010989010989	3807.0	13250.0	1800554.0	54948.54736328125	"
"2646.8864468864467	3613.0	13257.8125	1800810.0	54956.35986328125	"
"2432.234432234432	3320.0	13265.625	1801066.0	54964.17236328125	"
"2187.5457875457873	2986.0	13273.4375	1801322.0	54971.98486328125	"
"1933.3333333333333	2639.0	13281.25	1801578.0	54979.79736328125	"
"1687.179487179487	2303.0	13289.0625	1801834.0	54987.60986328125	"
"1454.212454212454	1985.0	13296.875	1802090.0	54995.42236328125	"
"1241.7582417582419	1695.0	13304.6875	1802346.0	55003.23486328125	"
"1052.014652014652	1436.0	13312.5	1802602.0	55011.04736328125	"
"889.3772893772893	1214.0	13320.3125	1802858.0	55018.85986328125	"
"750.1831501831501	1024.0	13328.125	1803114.0	55026.67236328125	"
"638.0952380952381	871.0	13335.9375	1803370.0	55034.48486328125	"
"547.9853479853481	748.0	13343.75	1803626.0	55042.29736328125	"
"480.5860805860806	656.0	13351.5625	1803882.0	55050.10986328125	"
"430.0366300366301	587.0	13359.375	1804138.0	55057.92236328125	"
"397.8021978021978	543.0	13367.1875	1804394.0	55065.73486328125	"
"383.1501831501832	523.0	13375.0	1804650.0	55073.54736328125	"
"384.61538461538464	525.0	13382.8125	1804906.0	55081.35986328125	"
"397.8021978021978	543.0	13390.625	1805162.0	55089.17236328125	"
"425.64102564102564	581.0	13398.4375	1805418.0	55096.98486328125	"
"462.2710622710623	631.0	13406.25	1805674.0	55104.79736328125	"
"506.9597069597069	692.0	13414.0625	1805930.0	55112.60986328125	"
"558.974358974359	763.0	13421.875	1806186.0	55120.42236328125	"
"614.6520146520147	839.0	13429.6875	1806442.0	55128.23486328125	"
"671.0622710622711	916.0	13437.5	1806698.0	55136.04736328125	"
"728.9377289377289	995.0	13445.3125	1806954.0	55143.85986328125	"
"783.8827838827839	1070.0	13453.125	1807210.0	55151.67236328125	"
"838.0952380952381	1144.0	13460.9375	1807466.0	55159.48486328125	"
"887.9120879120878	1212.0	13468.75	1807722.0	55167.29736328125	"
"934.7985347985348	1276.0	13476.5625	1807978.0	55175.10986328125	"
"976.5567765567765	1333.0	13484.375	1808234.0	55182.92236328125	"
"1013.1868131868132	1383.0	13492.1875	1808490.0	55190.73486328125	"
"1041.7582417582419	1422.0	13500.0	1808746.0	55198.54736328125	"
"1065.2014652014652	1454.0	13507.8125	1809002.0	55206.35986328125	"
"1082.051282051282	1477.0	13515.625	1809258.0	55214.17236328125	"
"1093.7728937728937	1493.0	13523.4375	1809514.0	55221.98486328125	"
"1098.901098901099	1500.0	13531.25	1809770.0	55229.79736328125	"
"1097.4358974358975	1498.0	13539.0625	1810026.0	55237.60986328125	"
"1090.10989010989	1488.0	13546.875	1810282.0	55245.42236328125	"
"1077.6556776556777	1471.0	13554.6875	1810538.0	55253.23486328125	"
"1062.2710622710622	1450.0	13562.5	1810794.0	55261.04736328125	"
"1046.1538461538462	1428.0	13570.3125	1811050.0	55268.85986328125	"
"1027.8388278388277	1403.0	13578.125	1811306.0	55276.67236328125	"
"1011.7216117216117	1381.0	13585.9375	1811562.0	55284.48486328125	"
"997.0695970695971	1361.0	13593.75	1811818.0	55292.29736328125	"
"983.8827838827839	1343.0	13601.5625	1812074.0	55300.10986328125	"
"971.4285714285714	1326.0	13609.375	1812330.0	55307.92236328125	"
"961.1721611721612	1312.0	13617.1875	1812586.0	55315.73486328125	"
"951.6483516483516	1299.0	13625.0	1812842.0	55323.54736328125	"
"942.1245421245421	1286.0	13632.8125	1813098.0	55331.35986328125	"
"933.3333333333334	1274.0	13640.625	1813354.0	55339.17236328125	"
"926.007326007326	1264.0	13648.4375	1813610.0	55346.98486328125	"
"922.3443223443224	1259.0	13656.25	1813866.0	55354.79736328125	"
"920.1465201465201	1256.0	13664.0625	1814122.0	55362.60986328125	"
"920.1465201465201	1256.0	13671.875	1814378.0	55370.42236328125	"
"920.8791208791208	1257.0	13679.6875	1814634.0	55378.23486328125	"
"919.4139194139194	1255.0	13687.5	1814890.0	55386.04736328125	"
"920.1465201465201	1256.0	13695.3125	1815146.0	55393.85986328125	"
"926.007326007326	1264.0	13703.125	1815402.0	55401.67236328125	"
"941.3919413919414	1285.0	13710.9375	1815658.0	55409.48486328125	"
"972.8937728937728	1328.0	13718.75	1815914.0	55417.29736328125	"
"1023.4432234432234	1397.0	13726.5625	1816170.0	55425.10986328125	"
"1101.0989010989013	1503.0	13734.375	1816426.0	55432.92236328125	"
"1215.3846153846152	1659.0	13742.1875	1816682.0	55440.73486328125	"
"1367.032967032967	1866.0	13750.0	1816938.0	55448.54736328125	"
"1558.974358974359	2128.0	13757.8125	1817194.0	55456.35986328125	"
"1783.882783882784	2435.0	13765.625	1817450.0	55464.17236328125	"
"2036.6300366300366	2780.0	13773.4375	1817706.0	55471.98486328125	"
"2304.029304029304	3145.0	13781.25	1817962.0	55479.79736328125	"
"2573.6263736263736	3513.0	13789.0625	1818218.0	55487.60986328125	"
"2796.336996336996	3817.0	13796.875	1818474.0	55495.42236328125	"
"2797.8021978021975	3819.0	13804.6875	1818730.0	55503.23486328125	"
"2797.069597069597	3818.0	13812.5	1818986.0	55511.04736328125	"
"2797.069597069597	3818.0	13820.3125	1819242.0	55518.85986328125	"
