Time,GSR Reading
1585314913047,3803.0
1585314913136,3803.0
1585314913233,3803.0
1585314913340,3803.0
1585314913432,3803.0
1585314913550,731.0
1585314913632,1051.0
1585314913742,1984.0
1585314913842,1995.0
1585314913937,2009.0
1585314914031,2017.0
1585314914130,2023.0
1585314914231,2035.0
1585314914339,2040.0
1585314914435,2047.0
1585314914539,2054.0
1585314914634,2063.0
1585314914736,2071.0
1585314914850,2078.0
1585314914934,2084.0
1585314915056,2089.0
1585314915139,2094.0
1585314915266,2101.0
1585314915347,2108.0
1585314915438,2115.0
1585314915535,2122.0
1585314915663,2131.0
1585314915759,2134.0
1585314915857,2142.0
1585314915935,2145.0
1585314916137,2150.0
1585314916142,2154.0
1585314916240,2156.0
1585314916342,2163.0
1585314916429,2171.0
1585314916543,2173.0
1585314916642,2179.0
1585314916736,2186.0
1585314916846,2178.0
1585314916944,2176.0
1585314917042,2172.0
1585314917145,2196.0
1585314917235,2214.0
1585314917348,2225.0
1585314917443,2237.0
1585314917538,2249.0
1585314917633,2259.0
1585314917734,2262.0
1585314917842,2260.0
1585314917934,2254.0
1585314918036,2252.0
1585314918151,2238.0
1585314918271,2248.0
1585314918336,2257.0
1585314918444,2263.0
1585314918532,2274.0
1585314918656,2283.0
1585314918745,2294.0
1585314918856,2298.0
1585314918957,2303.0
1585314919040,2309.0
1585314919149,2317.0
1585314919235,2328.0
1585314919352,2332.0
1585314919442,2340.0
1585314919551,2348.0
1585314919639,2357.0
1585314919753,2361.0
1585314919836,2369.0
1585314919943,2376.0
1585314920037,2381.0
1585314920157,2387.0
1585314920233,2390.0
1585314920358,2395.0
1585314920451,2394.0
1585314920545,2399.0
1585314920640,2404.0
1585314920738,2396.0
1585314920828,2348.0
1585314920945,2369.0
1585314921032,2382.0
1585314921147,2390.0
1585314921231,2397.0
1585314921350,2405.0
1585314921439,2414.0
1585314921534,2418.0
1585314921646,2423.0
1585314921735,2426.0
1585314921924,2429.0
1585314921925,2430.0
1585314922044,2429.0
1585314922128,2429.0
1585314922237,2427.0
1585314922349,2425.0
1585314922436,2424.0
1585314922546,2422.0
1585314922630,2419.0
1585314922747,2415.0
1585314922834,2410.0
1585314922949,2405.0
1585314923038,2400.0
1585314923126,2394.0
1585314923240,2390.0
1585314923355,2384.0
1585314923442,2378.0
1585314923546,2373.0
1585314923641,2367.0
1585314923731,2361.0
1585314923866,2355.0
1585314923929,2347.0
1585314924042,2340.0
1585314924144,2334.0
1585314924232,2328.0
1585314924330,2321.0
1585314924458,2315.0
1585314924564,2308.0
1585314924627,2303.0
1585314924751,2297.0
1585314924829,2292.0
1585314924944,2286.0
1585314925030,2281.0
1585314925137,2275.0
1585314925231,2270.0
1585314925349,2265.0
1585314925440,2258.0
1585314925533,2253.0
1585314925637,2248.0
1585314925738,2243.0
1585314925840,2238.0
1585314925943,2235.0
1585314926028,2230.0
1585314926158,2226.0
1585314926237,2220.0
1585314926337,2217.0
1585314926431,2213.0
1585314926545,2209.0
1585314926636,2205.0
1585314926740,2200.0
1585314926836,2196.0
1585314926946,2193.0
1585314927036,2191.0
1585314927137,2186.0
1585314927228,2183.0
1585314927338,2179.0
1585314927446,2174.0
1585314927534,2159.0
1585314927635,2146.0
1585314927727,2142.0
1585314927841,2140.0
1585314927960,2139.0
1585314928025,2137.0
1585314928153,2136.0
1585314928243,2132.0
1585314928338,2131.0
1585314928429,2129.0
1585314928574,2127.0
1585314928630,2126.0
1585314928747,2125.0
1585314928827,2123.0
1585314928928,2121.0
1585314929036,2118.0
1585314929162,2116.0
1585314929233,2114.0
1585314929327,2111.0
1585314929440,2109.0
1585314929541,2107.0
1585314929633,2105.0
1585314929727,2103.0
1585314929838,2100.0
1585314929941,2098.0
1585314930046,2096.0
1585314930132,2094.0
1585314930231,2092.0
1585314930339,2091.0
1585314930431,2089.0
1585314930536,2088.0
1585314930642,2086.0
1585314930751,2083.0
1585314930831,2083.0
1585314930927,2082.0
1585314931033,2081.0
1585314931134,2079.0
1585314931230,2077.0
1585314931335,2076.0
1585314931432,2075.0
1585314931541,2073.0
1585314931641,2072.0
1585314931743,2071.0
1585314931838,2068.0
1585314931939,2066.0
1585314932095,2064.0
1585314932157,2060.0
1585314932250,2055.0
1585314932342,2056.0
1585314932442,2049.0
1585314932541,2000.0
1585314932649,1996.0
1585314932731,2037.0
1585314932925,2084.0
1585314932957,2065.0
1585314933028,2062.0
1585314933147,2062.0
1585314933230,2062.0
1585314933352,2062.0
1585314933433,2060.0
1585314933533,2060.0
1585314933633,2066.0
1585314933746,2077.0
1585314933849,2070.0
1585314933948,2067.0
1585314934052,2066.0
1585314934136,2065.0
1585314934252,2066.0
1585314934358,2065.0
1585314934454,2064.0
1585314934537,2063.0
1585314934647,2060.0
1585314934730,2059.0
1585314934844,2058.0
1585314934932,2057.0
1585314935118,2057.0
1585314935145,2055.0
1585314935228,2054.0
1585314935345,2053.0
1585314935453,2053.0
1585314935549,2049.0
1585314935631,2046.0
1585314935750,2060.0
1585314935834,2097.0
1585314935926,2191.0
1585314936035,2283.0
1585314936151,2210.0
1585314936244,2125.0
1585314936343,2103.0
1585314936438,2104.0
1585314936552,2100.0
1585314936639,2097.0
1585314936758,2098.0
1585314936832,2103.0
1585314936951,2098.0
1585314937044,2098.0
1585314937165,2098.0
1585314937251,2096.0
1585314937335,2094.0
1585314937452,2092.0
1585314937569,2091.0
1585314937638,2090.0
1585314937749,2089.0
1585314937837,2087.0
1585314937953,2087.0
1585314938045,2084.0
1585314938157,2083.0
1585314938239,2081.0
1585314938422,2080.0
1585314938426,2077.0
1585314938539,2076.0
1585314938641,2075.0
1585314938750,2073.0
1585314938839,2071.0
1585314938946,2070.0
1585314939039,2069.0
1585314939142,2068.0
1585314939251,2066.0
1585314939342,2065.0
1585314939453,2062.0
1585314939542,2060.0
1585314939652,2057.0
1585314939741,2058.0
1585314939836,2055.0
1585314940006,2053.0
1585314940039,2055.0
1585314940138,2021.0
1585314940233,2039.0
1585314940437,2089.0
1585314940439,2065.0
1585314940547,2050.0
1585314940665,2044.0
1585314940739,2034.0
1585314940845,1990.0
1585314940934,1990.0
1585314941054,2015.0
1585314941146,2020.0
1585314941241,2027.0
1585314941332,2026.0
1585314941444,2065.0
1585314941538,2090.0
1585314941644,2114.0
1585314941755,2119.0
1585314941842,2110.0
1585314941942,2097.0
1585314942042,2090.0
1585314942133,2084.0
1585314942233,2075.0
1585314942333,2071.0
1585314942439,2054.0
1585314942547,2054.0
1585314942642,2052.0
1585314942742,2052.0
1585314942833,2049.0
1585314942932,2048.0
1585314943038,2047.0
1585314943138,2046.0
1585314943249,2045.0
1585314943345,2039.0
1585314943429,1915.0
1585314943529,1915.0
1585314943640,1936.0
1585314943730,1926.0
1585314943841,1999.0
1585314944027,1934.0
1585314944031,1922.0
1585314944227,2001.0
1585314944227,2055.0
1585314944432,2046.0
1585314944432,2041.0
1585314944544,1985.0
1585314944641,1875.0
1585314944740,1988.0
1585314944902,1985.0
1585314944938,1985.0
1585314945031,1981.0
1585314945135,1986.0
1585314945243,1991.0
1585314945328,1992.0
1585314945432,1995.0
1585314945532,1995.0
1585314945650,1997.0
1585314945746,1997.0
1585314945841,1997.0
1585314945936,1997.0
1585314946047,1999.0
1585314946141,2000.0
1585314946228,1999.0
1585314946338,1991.0
1585314946437,1993.0
1585314946528,1994.0
1585314946639,1987.0
1585314946742,1986.0
1585314946840,1985.0
1585314946946,1984.0
1585314947043,1982.0
1585314947131,1980.0
1585314947252,1982.0
1585314947332,1983.0
1585314947432,1984.0
1585314947538,1985.0
1585314947637,1983.0
1585314947741,1983.0
1585314947838,1984.0
1585314947932,1982.0
1585314948042,1980.0
1585314948149,1979.0
1585314948244,1978.0
1585314948335,1976.0
1585314948433,1974.0
1585314948530,1974.0
1585314948630,1973.0
1585314948739,1971.0
1585314948856,1970.0
1585314948945,1969.0
1585314949035,1968.0
1585314949143,1966.0
1585314949236,1964.0
1585314949346,1963.0
1585314949452,1962.0
1585314949552,1960.0
1585314949636,1960.0
1585314949731,1959.0
1585314949845,1958.0
1585314949939,1957.0
1585314950052,1955.0
1585314950149,1954.0
1585314950235,1953.0
1585314950350,1951.0
1585314950432,1950.0
1585314950556,1948.0
1585314950634,1947.0
1585314950745,1947.0
1585314950866,1947.0
1585314950936,1947.0
1585314951048,1945.0
1585314951147,1944.0
1585314951252,1943.0
1585314951347,1941.0
1585314951442,1940.0
1585314951536,1938.0
1585314951631,1937.0
1585314951734,1936.0
1585314951839,1935.0
1585314951939,1934.0
1585314952048,1932.0
1585314952161,1931.0
1585314952230,1930.0
1585314952353,1929.0
1585314952429,1927.0
1585314952576,1926.0
1585314952640,1926.0
1585314952744,1924.0
1585314952836,1922.0
1585314952958,1921.0
1585314953050,1920.0
1585314953131,1920.0
1585314953250,1919.0
1585314953341,1917.0
1585314953449,1916.0
1585314953542,1915.0
1585314953656,1914.0
1585314953738,1913.0
1585314953844,1912.0
1585314953971,1911.0
1585314954031,1910.0
1585314954141,1909.0
1585314954243,1907.0
1585314954341,1907.0
1585314954436,1905.0
1585314954536,1904.0
1585314954641,1903.0
1585314954759,1902.0
1585314954838,1900.0
1585314954936,1900.0
1585314955054,1899.0
1585314955135,1899.0
1585314955239,1898.0
1585314955415,1896.0
1585314955446,1895.0
1585314955555,1894.0
1585314955646,1893.0
1585314955756,1892.0
1585314955836,1892.0
1585314955952,1891.0
1585314956039,1890.0
1585314956148,1889.0
1585314956261,1889.0
1585314956351,1888.0
1585314956442,1887.0
1585314956554,1886.0
1585314956651,1886.0
1585314956741,1885.0
1585314956865,1886.0
1585314956941,1886.0
1585314957044,1885.0
1585314957142,1885.0
1585314957238,1884.0
1585314957355,1883.0
